기간,국가,HS코드,품목명,수출중량,수출금액,수입중량,수입금액,무역수지
총계,,,,143850456.8,108977884,131314153.5,78408007,30569876
2015,가나,72,철강,1800.6,2622,0,0,2622
2015,가봉,72,철강,131.2,113,0,0,113
2015,가이아나,72,철강,721.9,595,0,0,595
2015,과테말라,72,철강,41423.6,22102,8120.1,5266,16835
2015,괌,72,철강,3645.8,2499,144.9,44,2455
2015,그레나다,72,철강,345.8,330,0,0,330
2015,그리스,72,철강,36745.2,21855,1195.6,163,21692
2015,기니,72,철강,395.9,232,0,0,232
2015,기타국,72,철강,71.2,65,9638,2610,-2546
2015,나미비아,72,철강,0,0,490.1,150,-150
2015,나이지리아,72,철강,12220.3,9211,2.7,4,9208
2015,남아프리카공화국,72,철강,47707.8,41047,339393.5,306260,-265213
2015,네덜란드,72,철강,94523.4,134255,86340.4,129619,4636
2015,네덜란드 열도,72,철강,0,0,1578.5,391,-391
2015,노르웨이,72,철강,231.1,297,3880,7419,-7122
2015,뉴 칼레도니아,72,철강,1140.2,1051,1050.9,4097,-3047
2015,뉴질랜드,72,철강,53164.4,49967,2851.8,1502,48465
2015,니우에,72,철강,0,0,122.9,6,-6
2015,니카라과,72,철강,69.8,56,28065.1,7094,-7039
2015,대만,72,철강,758892.6,524616,353164.1,361035,163581
2015,덴마크,72,철강,50473.4,32989,36.7,125,32864
2015,도미니카 공화국,72,철강,24348.1,19251,47545.6,12644,6607
2015,독일,72,철강,37414,67853,41330.7,96872,-29019
2015,라오스,72,철강,578.7,1128,0,0,1128
2015,라트비아,72,철강,1520.7,1252,78.5,12,1240
2015,러시아 연방,72,철강,135319.1,138338,1186582.1,393270,-254931
2015,레바논,72,철강,24849.8,11705,0,0,11705
2015,루마니아,72,철강,76994.4,63431,2366,5470,57960
2015,룩셈부르그,72,철강,396.5,928,4281.1,3884,-2956
2015,르완다,72,철강,0,1,0,0,1
2015,리비아,72,철강,31.8,27,15.3,17,10
2015,리투아니아,72,철강,7361.5,6247,3.1,4,6243
2015,마샬군도,72,철강,101.7,106,191.7,29,77
2015,마세도니아,72,철강,0.1,0,0,0,0
2015,마이크로네시아,72,철강,1124.1,900,80,22,877
2015,말레이시아,72,철강,851581.3,487227,265093.5,75797,411430
2015,멕시코,72,철강,1602806.5,1158877,5273,3976,1154901
2015,모로코,72,철강,549.9,1294,0,0,1294
2015,모리셔스,72,철강,661.7,544,0,0,544
2015,모잠비크,72,철강,8.9,20,0,0,20
2015,몰도바,72,철강,4.5,6,0,0,6
2015,몰타,72,철강,2,117,0,0,117
2015,몽골,72,철강,826.3,938,0,0,938
2015,미국,72,철강,2825197,2026259,1011714.5,413576,1612683
2015,미령 버진군도,72,철강,105.7,83,0,0,83
2015,미얀마,72,철강,12710.4,8851,0,0,8851
2015,바누아투,72,철강,9.7,24,0,0,24
2015,바레인,72,철강,17686.5,12642,447.8,301,12341
2015,바하마,72,철강,0,0,98.1,14,-14
2015,방글라데시,72,철강,282303.3,142086,8.9,1,142085
