기간,국가,HS코드,품목명,수출중량,수출금액,수입중량,수입금액,무역수지
총계,,,,122071627.8,120170982,89220243.8,76063323,44107660
2020,가나,72,철강,1161.9,1057,0,0,1057
2020,가봉,72,철강,68.3,63,0,0,63
2020,가이아나,72,철강,322.7,288,0,0,288
2020,과테말라,72,철강,16233.5,8522,41.2,54,8468
2020,괌,72,철강,11873.3,8794,3188.9,855,7939
2020,그레나다,72,철강,725.5,595,0,0,595
2020,그리스,72,철강,7275.1,6178,37.1,3,6175
2020,기타국,72,철강,0,0,10387,3295,-3295
2020,나이지리아,72,철강,40260.2,19062,0,0,19062
2020,남아프리카공화국,72,철강,38495.1,33250,205804,171581,-138331
2020,네덜란드,72,철강,81482.7,196036,1697.9,3077,192958
2020,네팔,72,철강,23.8,37,0,0,37
2020,노르웨이,72,철강,2531.4,2020,11618.1,16294,-14274
2020,뉴 칼레도니아,72,철강,1747.6,1633,1208.1,6538,-4905
2020,뉴질랜드,72,철강,80808.3,65689,22402.4,7216,58473
2020,니카라과,72,철강,1.2,1,2963.6,733,-732
2020,대만,72,철강,924158.6,619111,342534,332870,286241
2020,덴마크,72,철강,75315.8,42742,2066.7,447,42295
2020,도미니카,72,철강,44.7,30,0,0,30
2020,도미니카 공화국,72,철강,5385.5,3371,10344.5,2609,762
2020,독일,72,철강,34320,79980,24944.8,81474,-1494
2020,라오스,72,철강,0,0,0,0,0
2020,라이베리아,72,철강,0,0,27.1,3,-3
2020,라트비아,72,철강,243.1,248,0,0,248
2020,러시아 연방,72,철강,225669.1,222500,816188.4,308787,-86287
2020,레바논,72,철강,3080.3,3174,0,0,3174
2020,루마니아,72,철강,49139.2,55704,112.2,313,55390
2020,룩셈부르그,72,철강,0,0,504.4,495,-495
2020,르완다,72,철강,85.1,69,0,0,69
2020,리투아니아,72,철강,3889.6,3583,1.1,27,3557
2020,리히텐슈타인,72,철강,18.8,18,0,0,18
2020,마다카스카르,72,철강,165.3,262,0,0,262
2020,마샬군도,72,철강,314.9,358,61.1,29,329
2020,마이크로네시아,72,철강,4225.7,2506,0,0,2506
2020,마카오,72,철강,201.5,126,0,0,126
2020,말라위,72,철강,0,0,302.1,139,-139
2020,말레이시아,72,철강,966564.1,600782,326218.6,170229,430553
2020,멕시코,72,철강,1527254.1,1248621,18510,6801,1241821
2020,모로코,72,철강,30635,21537,0,0,21537
2020,모리셔스,72,철강,1231,977,0,0,977
2020,모잠비크,72,철강,4784,2288,0,0,2288
2020,몬테네그로,72,철강,324,318,0,0,318
2020,몰도바,72,철강,1260.4,1167,0,0,1167
2020,몰타,72,철강,0.1,0,0,0,0
2020,몽골,72,철강,28.8,33,296.4,118,-84
2020,미국,72,철강,1275029.8,1063347,517416.2,270679,792668
2020,미령 버진군도,72,철강,22.8,21,0,0,21
2020,미얀마,72,철강,84856.1,43416,457.2,420,42996
2020,바누아투,72,철강,2.1,1,0,0,1
2020,바레인,72,철강,5715,4156,77316.6,39052,-34896
2020,바베이도스,72,철강,578.3,375,0,0,375
2020,방글라데시,72,철강,253986.9,128005,2,0,128005
2020,베네주엘라,72,철강,145.5,95,1420.7,301,-206
2020,베트남,72,철강,1830195,1271716,283604.1,174685,1097031
2020,벨기에,72,철강,430511.9,295590,37895.8,87854,207735
2020,벨라루스,72,철강,2183.9,2425,110.3,145,2280
2020,벨리제,72,철강,324.1,371,0,0,371
2020,보네르 신트외스타티위스,72,철강,0,0,0.2,10,-10
2020,보스니아-헤르체고비나,72,철강,1116.4,879,0,0,879
2020,북마리아나 군도,72,철강,2647.3,1708,3691.4,766,942
2020,불가리아,72,철강,3392.4,1810,0,0,1810
2020,불령 리유니온 코모도 제도,72,철강,742.8,611,0,0,611
2020,불령 폴리네시아,72,철강,21.4,22,0,0,22
2020,브라질,72,철강,194838.5,180383,149772.8,245689,-65305
2020,브루나이,72,철강,39.5,237,0,0,237
2020,사모아,72,철강,12701.8,19323,1614,319,19004
2020,사우디아라비아,72,철강,460898.4,267903,4149.9,3033,264870
2020,사이프러스,72,철강,0,0,1,0,0
2020,세네갈,72,철강,2.3,22,0,0,22
2020,세르비아,72,철강,187.1,313,0,0,313
2020,세이쉘,72,철강,4488.3,7148,0,0,7148
2020,세인트 루시아,72,철강,293.1,279,0,0,279
2020,세인트 빈센트 그레나딘,72,철강,183.6,162,0,0,162
2020,세인트 키츠 네비스,72,철강,19.2,15,0,0,15
2020,소말리아,72,철강,1.2,19,0,0,19
2020,솔로몬 군도,72,철강,550.8,311,0,0,311
2020,수단,72,철강,218,106,0,0,106
2020,수리남,72,철강,0,0,620.1,148,-148
2020,스리랑카,72,철강,20176.3,17165,0,0,17165
2020,스웨덴,72,철강,93127.7,66165,61848.7,128205,-62040
2020,스위스,72,철강,663.3,1740,311,1035,705
2020,스페인,72,철강,249596.1,173404,2192.9,3081,170323
2020,슬로바키아,72,철강,3400.4,5219,135.3,176,5043
2020,슬로베니아,72,철강,305163.7,245090,1614.8,5339,239751
2020,시리아,72,철강,360,223,0,0,223
2020,싱가포르,72,철강,112536.2,78891,2278.9,3431,75461
2020,아랍에미리트 연합,72,철강,228311.2,147960,2636.9,697,147264
2020,아르헨티나,72,철강,21475.3,22121,932.4,700,21421
2020,아메리칸 사모아,72,철강,217.5,449,152.4,20,429
2020,아이슬란드,72,철강,0,0,3171,5304,-5304
2020,아일랜드,72,철강,890.1,882,175.4,105,777
2020,아제르바이잔,72,철강,1196.4,1438,0,0,1438
2020,알제리,72,철강,5037.2,5755,0,0,5755
2020,앙골라,72,철강,10,4,0,0,4
2020,에스토니아,72,철강,3563.1,3062,248.6,685,2376
2020,에쿠아도르,72,철강,33570.9,22144,0,0,22144
2020,에티오피아,72,철강,92.6,148,0,0,148
2020,엘살바도르,72,철강,76033.8,60225,2593.9,656,59569
2020,영국,72,철강,261997.3,175243,8796.3,15431,159812
2020,예맨,72,철강,12229.3,7728,1527.9,352,7376
2020,오만,72,철강,93907.8,52564,5458,4749,47815
2020,오스트리아,72,철강,542.3,1835,7783,39006,-37171
2020,온두라스,72,철강,10960.9,5474,0,0,5474
2020,요르단,72,철강,26567.5,12521,0,0,12521
2020,우루과이,72,철강,8295.6,6822,0,0,6822
2020,우즈베키스탄,72,철강,15828.3,15544,16.3,55,15489
2020,우크라이나,72,철강,33521.9,31316,3898.9,10750,20566
2020,이라크,72,철강,3027.2,3405,0,0,3405
2020,이란,72,철강,2364.5,4685,2,1,4684
2020,이스라엘,72,철강,7441.1,6792,3116.3,1264,5527
2020,이집트,72,철강,74208.3,70859,35.8,62,70797
2020,이탈리아,72,철강,804802.4,614355,11233.9,31351,583004
2020,인도,72,철강,1984200,1454109,204880,236524,1217584
2020,인도네시아,72,철강,910575.3,604783,347986.1,580620,24163
2020,일본,72,철강,3026599.2,2156144,7674177.4,3849487,-1693342
2020,자마이카,72,철강,4656.9,3696,738.2,179,3517
2020,조지아,72,철강,16302.7,14936,22.2,30,14906
2020,중국,72,철강,5145697.2,3499616,5433486.4,3778123,-278506
2020,지부티,72,철강,5311.5,2044,0,0,2044
2020,체코공화국,72,철강,7450.2,15715,544.9,1702,14013
2020,칠레,72,철강,116636.5,65085,443.8,110,64975
2020,카메룬,72,철강,425.7,388,0,0,388
2020,카자흐스탄,72,철강,3965.8,4187,89624.5,105839,-101652
2020,카타르,72,철강,36956.2,20848,0.1,0,20847
2020,캄보디아,72,철강,60.2,367,0,0,367
2020,캐나다,72,철강,320478.4,245659,24770.5,40742,204916
2020,케냐,72,철강,121378.5,60598,0,0,60598
2020,코스타리카,72,철강,18575.5,8898,5779.2,1422,7475
2020,코트디봐르,72,철강,85.9,86,0,0,86
2020,콜롬비아,72,철강,104484.1,73175,9158.1,28208,44967
2020,콩고민주공화국,72,철강,354.6,230,0,0,230
2020,쿠바,72,철강,14482,9235,0,0,9235
2020,쿠웨이트,72,철강,35464.9,22707,0.6,0,22707
2020,크로아티아,72,철강,4232.5,7037,0,0,7037
2020,키르기스스탄,72,철강,289.3,338,0,0,338
2020,타지크,72,철강,90.6,32,0,0,32
2020,탄자니아,72,철강,5007.7,2718,0,0,2718
2020,태국,72,철강,1846664.2,1362295,75652.7,89491,1272804
2020,토고,72,철강,0.3,2,0,0,2
2020,투르크멘,72,철강,3044.4,2692,0,0,2692
2020,투발루,72,철강,0.1,0,0,0,0
2020,튀니지,72,철강,1954,1956,63,7,1949
2020,튀르키예,72,철강,994641.8,783656,9346.3,12115,771540
2020,트리니다드 토바고,72,철강,6115.4,5244,2361.3,580,4664
2020,파나마,72,철강,15668.6,9592,8755.1,2229,7363
2020,파라과이,72,철강,2206.3,2160,0,0,2160
2020,파키스탄,72,철강,273985.9,141424,60.1,121,141303
2020,파푸아 뉴기니,72,철강,4527.8,5480,13.2,15,5465
