기간,국가,HS코드,품목명,수출중량,수출금액,수입중량,수입금액,무역수지
총계,,,,64244529.5,33838927,118533550,39283017,-5444090
2000,가나,72,철강,660.2,401,0,0,401
2000,가봉,72,철강,3,6,0,0,6
2000,과델로프,72,철강,0.1,2,0,0,2
2000,과테말라,72,철강,4306.5,2117,0,0,2117
2000,괌,72,철강,9695.5,2433,11883.2,1220,1212
2000,그리스,72,철강,10448.2,4335,0,0,4335
2000,기니,72,철강,419.3,131,0,0,131
2000,기타국,72,철강,682.2,202,0,4,197
2000,나이지리아,72,철강,10171,3026,0,0,3026
2000,남아프리카공화국,72,철강,16101.9,12840,485690.3,168135,-155296
2000,네덜란드,72,철강,40484.4,14579,382255.2,63685,-49106
2000,노르웨이,72,철강,400.7,267,2296.8,2122,-1855
2000,노폴크 아일랜드,72,철강,0,0,0,14,-14
2000,뉴 칼레도니아,72,철강,1126.3,519,22749.2,57485,-56966
2000,뉴질랜드,72,철강,37923.2,24726,28658.5,4793,19933
2000,니제르,72,철강,4.4,44,0,1,43
2000,니카라과,72,철강,16.1,35,0,0,35
2000,대만,72,철강,332883,188028,171829.5,151319,36709
2000,덴마크,72,철강,23955.5,8577,151.9,98,8479
2000,도미니카,72,철강,0,0,2654.7,7072,-7072
2000,도미니카 공화국,72,철강,14730.4,5812,12678.5,42927,-37115
2000,독일,72,철강,9151.4,16085,136533.6,60271,-44186
2000,라이베리아,72,철강,141.6,103,42.1,3,99
2000,라트비아,72,철강,0,0,0.5,0,0
2000,러시아 연방,72,철강,1406.7,1912,2663658.5,456840,-454929
2000,레바논,72,철강,2653.5,2420,0,0,2420
2000,루마니아,72,철강,15917.1,19180,63266.8,8773,10407
2000,룩셈부르그,72,철강,0,0,50.7,41,-41
2000,리비아,72,철강,40.7,32,0,0,32
2000,리투아니아,72,철강,135.6,485,33628.3,4119,-3634
2000,마다카스카르,72,철강,240.2,169,0,0,169
2000,마샬군도,72,철강,349.2,88,0,0,88
2000,마이크로네시아,72,철강,3251.4,976,0,0,976
2000,마카오,72,철강,0.3,3,0,0,3
2000,말레이시아,72,철강,457151.6,220668,259305.1,39632,181036
