기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,수출금액비율,수익금액비율
2023,6,"살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",1443.1,10874,86273,167372,-156498,0,0
2023,65,모자류와 그 부분품,3521.8,116093,10344.1,311842,-195749,0,0
2023,51,양모ㆍ동물의 부드러운 털이나 거친 털ㆍ말의 털로 만든 실과 직물,2783.4,54303,12809.3,270771,-216469,0,0
2023,05,다른 류로 분류되지 않은 동물성 생산품,32716.1,53636,50861.1,285397,-231761,0,0
2023,13,"락(lac), 검ㆍ수지ㆍ그 밖의 식물성 수액과 추출물(extract)",4023.5,106247,128713.4,343233,-236987,0,0.1
2023,31,비료,1056925,439083,1591578.8,740540,-301458,0.1,0.1
2023,80,주석과 그 제품,2152.4,73851,14420.8,415529,-341678,0,0.1
2023,11,"제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",65442.1,49606,438714.3,408656,-359051,0,0.1
2023,18,코코아와 그 조제품,24846.8,61801,71745.5,441482,-379681,0,0.1
2023,71,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",10818.5,4805669,49610.3,5213693,-408024,0.8,0.8
2023,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품,139220.2,981630,2905174.4,1441051,-459421,0.2,0.2
2023,52,면,40322.9,325290,242365.2,824754,-499464,0.1,0.1
2023,96,잡품,27674.4,461856,117406.3,1044939,-583083,0.1,0.2
2023,63,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마",319212.4,640285,297699.8,1247606,-607321,0.1,0.2
2023,22,음료ㆍ주류ㆍ식초,914766.3,1097163,1108482.9,1714620,-617457,0.2,0.3
2023,70,유리와 유리제품,382589.4,1895870,1269476.8,2523578,-627709,0.3,0.4
2023,20,채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품,115015.9,879110,1029670.3,1511103,-631994,0.1,0.2
2023,25,"소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",4578885.3,303788,11235812.7,1004654,-700866,0,0.2
2023,07,식용의 채소ㆍ뿌리ㆍ괴경(塊莖),68915.4,148193,1086689.2,878494,-730301,0,0.1
2023,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품,50916.3,356845,196312.7,1105071,-748226,0.1,0.2
2023,91,시계와 그 부분품,231.2,181478,3500,964620,-783142,0,0.2
2023,88,"항공기와 우주선, 이들의 부분품",6500.9,2462465,6269.6,3292306,-829841,0.4,0.5
2023,81,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",22757.4,305812,151417.3,1328448,-1022636,0,0.2
2023,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,4822.9,41722,219253.4,1227371,-1185649,0,0.2
2023,69,도자제품,37624.9,408783,1623524.8,1613297,-1204515,0.1,0.3
2023,21,각종 조제 식료품,405154.7,1638903,373067.2,2902505,-1263603,0.3,0.5
2023,17,당류(糖類)와 설탕과자,352608.6,349265,2350638.6,1618909,-1269643,0.1,0.3
2023,74,구리와 그 제품,655680.9,5680793,825519.1,7047844,-1367051,0.9,1.1
2023,47,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",641184.3,120208,2834140.5,1606990,-1486781,0,0.3
2023,08,"식용의 과실과 견과류, 감귤류ㆍ멜론의 껍질",46895.2,229966,803694.7,1741887,-1511921,0,0.3
